Detected Linux/other - using native python3
Results will be saved to: results/creditcard_20260514_141901
Dataset: creditcard

Activating virtual environment (Linux: ~/Downloads/venv)...
==============================================
STARTING A2QA BASELINE EXPERIMENTS
==============================================

==============================================
EXPERIMENT 1: Minimal Viable Baseline
==============================================
[I 2026-05-14 14:19:03,284] A new study created in memory with name: no-name-d2e84c05-96e5-4891-9bb6-b7786f69a093
[I 2026-05-14 14:19:04,485] Trial 0 finished with value: 0.8380952380952381 and parameters: {'n_estimators': 311, 'max_depth': 7, 'learning_rate': 0.15257372784439052, 'scale_pos_weight': 561.7482774926185}. Best is trial 0 with value: 0.8380952380952381.
[I 2026-05-14 16:13:50,464] Trial 0 finished with value: 0.7457627118644068 and parameters: {'n_estimators': 135, 'max_depth': 4, 'learning_rate': 0.0630245311995874, 'scale_pos_weight': 421.6493477854712}. Best is trial 0 with value: 0.7457627118644068.
[I 2026-05-14 16:13:52,623] Trial 1 finished with value: 0.7927927927927928 and parameters: {'n_estimators': 270, 'max_depth': 5, 'learning_rate': 0.13599178755992858, 'scale_pos_weight': 603.5370244726787}. Best is trial 1 with value: 0.7927927927927928.
[I 2026-05-14 16:13:59,018] Trial 2 finished with value: 0.8 and parameters: {'n_estimators': 394, 'max_depth': 5, 'learning_rate': 0.1284970881434961, 'scale_pos_weight': 431.81856753874865}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:04,628] Trial 3 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 239, 'max_depth': 7, 'learning_rate': 0.139783357447866, 'scale_pos_weight': 503.36443089268306}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:05,123] Trial 4 finished with value: 0.8 and parameters: {'n_estimators': 339, 'max_depth': 4, 'learning_rate': 0.12527582669324688, 'scale_pos_weight': 588.2968024771725}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:08,651] Trial 5 finished with value: 0.7652173913043478 and parameters: {'n_estimators': 301, 'max_depth': 4, 'learning_rate': 0.052467162009203594, 'scale_pos_weight': 447.02667512571867}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:18,623] Trial 6 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 234, 'max_depth': 4, 'learning_rate': 0.17207978828354095, 'scale_pos_weight': 453.7349564018712}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:19,196] Trial 7 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 378, 'max_depth': 6, 'learning_rate': 0.16747379631777065, 'scale_pos_weight': 537.7735973400728}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:19,378] Trial 8 finished with value: 0.75 and parameters: {'n_estimators': 145, 'max_depth': 3, 'learning_rate': 0.07756322238808791, 'scale_pos_weight': 464.5135028322213}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:19,821] Trial 9 finished with value: 0.7787610619469026 and parameters: {'n_estimators': 292, 'max_depth': 6, 'learning_rate': 0.19935712835684644, 'scale_pos_weight': 541.3058120894543}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:25,051] Trial 10 finished with value: 0.7787610619469026 and parameters: {'n_estimators': 395, 'max_depth': 6, 'learning_rate': 0.09410557831784165, 'scale_pos_weight': 500.0144236908725}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:28,811] Trial 11 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 351, 'max_depth': 5, 'learning_rate': 0.11327996900898828, 'scale_pos_weight': 619.1584560972034}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:33,635] Trial 12 finished with value: 0.7927927927927928 and parameters: {'n_estimators': 338, 'max_depth': 3, 'learning_rate': 0.10706258165253597, 'scale_pos_weight': 576.2184774861968}. Best is trial 2 with value: 0.8.
[I 2026-05-14 16:14:35,756] Trial 13 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 339, 'max_depth': 4, 'learning_rate': 0.1523416283905392, 'scale_pos_weight': 572.2098087423094}. Best is trial 13 with value: 0.8073394495412844.
[I 2026-05-14 16:14:40,561] Trial 14 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.15629655870464346, 'scale_pos_weight': 561.4294606109509}. Best is trial 13 with value: 0.8073394495412844.
[I 2026-05-14 16:14:43,394] Trial 15 finished with value: 0.7787610619469026 and parameters: {'n_estimators': 203, 'max_depth': 5, 'learning_rate': 0.16319565105256212, 'scale_pos_weight': 563.9751202385912}. Best is trial 13 with value: 0.8073394495412844.
[I 2026-05-14 16:14:45,654] Trial 16 finished with value: 0.7927927927927928 and parameters: {'n_estimators': 311, 'max_depth': 3, 'learning_rate': 0.15416300057864613, 'scale_pos_weight': 554.6008297888683}. Best is trial 13 with value: 0.8073394495412844.
[I 2026-05-14 16:14:49,774] Trial 17 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 361, 'max_depth': 7, 'learning_rate': 0.19014735346754855, 'scale_pos_weight': 517.758820108416}. Best is trial 13 with value: 0.8073394495412844.
[I 2026-05-14 16:14:57,464] Trial 18 finished with value: 0.8148148148148148 and parameters: {'n_estimators': 330, 'max_depth': 4, 'learning_rate': 0.18233803351621483, 'scale_pos_weight': 587.933572721358}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:14:59,119] Trial 19 finished with value: 0.8 and parameters: {'n_estimators': 196, 'max_depth': 4, 'learning_rate': 0.17768214781870664, 'scale_pos_weight': 593.4858997229056}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:02,319] Trial 20 finished with value: 0.7586206896551724 and parameters: {'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.18582153005031005, 'scale_pos_weight': 615.3550635341049}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:05,841] Trial 21 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 318, 'max_depth': 4, 'learning_rate': 0.15535433799662857, 'scale_pos_weight': 573.3146492527837}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:08,543] Trial 22 finished with value: 0.8 and parameters: {'n_estimators': 365, 'max_depth': 5, 'learning_rate': 0.14655791063798707, 'scale_pos_weight': 545.829839496365}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:12,652] Trial 23 finished with value: 0.7927927927927928 and parameters: {'n_estimators': 272, 'max_depth': 5, 'learning_rate': 0.17940135542267813, 'scale_pos_weight': 581.7371488486198}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:14,639] Trial 24 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 330, 'max_depth': 4, 'learning_rate': 0.15712093465176355, 'scale_pos_weight': 600.652321688212}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:22,403] Trial 25 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 399, 'max_depth': 6, 'learning_rate': 0.199729846055734, 'scale_pos_weight': 522.1668934290973}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:27,092] Trial 26 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 372, 'max_depth': 4, 'learning_rate': 0.13989586708585744, 'scale_pos_weight': 559.7156099833071}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:35,059] Trial 27 finished with value: 0.8073394495412844 and parameters: {'n_estimators': 270, 'max_depth': 3, 'learning_rate': 0.16794460983014428, 'scale_pos_weight': 528.2290049664126}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:38,530] Trial 28 finished with value: 0.7857142857142857 and parameters: {'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.14849431931969057, 'scale_pos_weight': 568.0081717075788}. Best is trial 18 with value: 0.8148148148148148.
[I 2026-05-14 16:15:42,433] Trial 29 finished with value: 0.8 and parameters: {'n_estimators': 379, 'max_depth': 4, 'learning_rate': 0.11676571217756357, 'scale_pos_weight': 485.17600562970904}. Best is trial 18 with value: 0.8148148148148148.
Terminated
